t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519831162,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,3.258587,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831163,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.994791,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831163,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.936905,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831164,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.722875,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831164,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.676041,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831165,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.496229,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831165,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.457497,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831166,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.304734,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831166,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.271225,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831167,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.140154,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831167,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,2.111562,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831168,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,1.997796,3.533052,3.901375,3.966820,calls/second,milliseconds
1519831168,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,1.972871,3.533052,3.901375,3.966820,calls/second,milliseconds
1519831169,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,1.873101,3.533052,3.901375,3.966820,calls/second,milliseconds
1519831169,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,1.851140,3.533052,3.901375,3.966820,calls/second,milliseconds
1519831170,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,1.762903,3.533052,3.901375,3.966820,calls/second,milliseconds
