t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1519831168,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831168,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831169,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831169,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831170,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831170,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831171,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831171,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831171,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831171,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831210,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831210,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831211,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831211,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831212,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831212,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831213,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831213,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831214,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831214,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831215,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831215,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831215,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831216,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831216,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831216,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831217,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831217,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831217,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831217,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831217,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831280,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831280,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831280,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831280,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831281,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831281,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831338,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831338,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831338,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831338,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831339,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831417,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831417,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831417,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831418,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831418,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831418,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831418,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831419,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831457,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831458,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831458,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831458,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831459,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831504,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831505,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831506,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831507,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831782,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831782,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831782,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831783,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831783,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831783,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831783,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831783,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831963,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831963,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831963,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831964,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831964,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831964,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831964,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831964,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832411,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832487,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832561,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832619,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832845,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832846,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832886,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832921,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832922,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832923,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832924,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832925,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832926,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832927,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832928,0,0.000000,0.000000,0.000000,0.000000,events/second
1519832975,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833002,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833056,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833130,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833410,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833411,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833413,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833414,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833414,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833498,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833570,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833571,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833575,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833575,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833576,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833576,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833576,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833576,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833577,0,0.000000,0.000000,0.000000,0.000000,events/second
1519833579,0,0.000000,0.000000,0.000000,0.000000,events/second
1519892565,0,0.000000,0.000000,0.000000,0.000000,events/second
1520338898,0,0.000000,0.000000,0.000000,0.000000,events/second
1520338899,0,0.000000,0.000000,0.000000,0.000000,events/second
1520338900,0,0.000000,0.000000,0.000000,0.000000,events/second
1520342533,0,0.000000,0.000000,0.000000,0.000000,events/second
1520342642,0,0.000000,0.000000,0.000000,0.000000,events/second
1520342931,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343016,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343017,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343018,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343019,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343020,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343021,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343094,0,0.000000,0.000000,0.000000,0.000000,events/second
